{'it': 40, 'wall': 244.9, 'records': 800, 'policy_loss': 3.5754, 'value_loss': 0.0027, 'ep_len': 40.0, 'cache_hit_rate': 0.2605, 'cache_lookups': 36460, 'infer_rows': 26962, 'infer_calls': 4232, 'fresh_rows': 26962, 'hit_rows': 9498}
{'it': 41, 'wall': 249.5, 'records': 773, 'policy_loss': 3.5759, 'value_loss': 0.004, 'ep_len': 33.6, 'cache_hit_rate': 0.2934, 'cache_lookups': 31787, 'infer_rows': 22461, 'infer_calls': 3675, 'fresh_rows': 22461, 'hit_rows': 9326}
{'it': 42, 'wall': 255.0, 'records': 784, 'policy_loss': 3.6519, 'value_loss': 0.0055, 'ep_len': 39.2, 'cache_hit_rate': 0.2743, 'cache_lookups': 36715, 'infer_rows': 26640, 'infer_calls': 4272, 'fresh_rows': 26640, 'hit_rows': 10072}
{'it': 43, 'wall': 261.4, 'records': 816, 'policy_loss': 3.8101, 'value_loss': 0.0053, 'ep_len': 48.0, 'cache_hit_rate': 0.2586, 'cache_lookups': 42496, 'infer_rows': 31507, 'infer_calls': 4907, 'fresh_rows': 31507, 'hit_rows': 10988}
{'it': 44, 'wall': 266.2, 'records': 772, 'policy_loss': 3.6979, 'value_loss': 0.0026, 'ep_len': 35.1, 'cache_hit_rate': 0.2863, 'cache_lookups': 33992, 'infer_rows': 24259, 'infer_calls': 4031, 'fresh_rows': 24259, 'hit_rows': 9732}
{'it': 45, 'wall': 272.3, 'records': 799, 'policy_loss': 3.4566, 'value_loss': 0.0035, 'ep_len': 33.3, 'cache_hit_rate': 0.2827, 'cache_lookups': 41241, 'infer_rows': 29583, 'infer_calls': 4848, 'fresh_rows': 29583, 'hit_rows': 11658}
{'it': 46, 'wall': 277.3, 'records': 781, 'policy_loss': 3.3785, 'value_loss': 0.0025, 'ep_len': 34.0, 'cache_hit_rate': 0.3148, 'cache_lookups': 33241, 'infer_rows': 22776, 'infer_calls': 3909, 'fresh_rows': 22776, 'hit_rows': 10465}
{'it': 47, 'wall': 283.0, 'records': 777, 'policy_loss': 3.2223, 'value_loss': 0.0033, 'ep_len': 29.9, 'cache_hit_rate': 0.2784, 'cache_lookups': 39520, 'infer_rows': 28518, 'infer_calls': 4739, 'fresh_rows': 28518, 'hit_rows': 11002}
{'it': 48, 'wall': 288.7, 'records': 788, 'policy_loss': 3.5745, 'value_loss': 0.0083, 'ep_len': 35.8, 'cache_hit_rate': 0.3046, 'cache_lookups': 35789, 'infer_rows': 24887, 'infer_calls': 4208, 'fresh_rows': 24887, 'hit_rows': 10900}
{'it': 49, 'wall': 294.4, 'records': 796, 'policy_loss': 3.7734, 'value_loss': 0.0357, 'ep_len': 41.9, 'cache_hit_rate': 0.2781, 'cache_lookups': 39297, 'infer_rows': 28367, 'infer_calls': 4602, 'fresh_rows': 28367, 'hit_rows': 10930}
{'it': 50, 'wall': 299.5, 'records': 787, 'policy_loss': 3.5506, 'value_loss': 0.004, 'ep_len': 41.4, 'cache_hit_rate': 0.273, 'cache_lookups': 36052, 'infer_rows': 26209, 'infer_calls': 4193, 'fresh_rows': 26209, 'hit_rows': 9843}
{'it': 51, 'wall': 304.8, 'records': 782, 'policy_loss': 3.3361, 'value_loss': 0.0048, 'ep_len': 35.5, 'cache_hit_rate': 0.3066, 'cache_lookups': 39309, 'infer_rows': 27256, 'infer_calls': 4607, 'fresh_rows': 27256, 'hit_rows': 12052}
{'it': 52, 'wall': 309.4, 'records': 779, 'policy_loss': 3.5809, 'value_loss': 0.0064, 'ep_len': 39.0, 'cache_hit_rate': 0.3051, 'cache_lookups': 31229, 'infer_rows': 21701, 'infer_calls': 3663, 'fresh_rows': 21701, 'hit_rows': 9528}
{'it': 53, 'wall': 315.4, 'records': 785, 'policy_loss': 3.3851, 'value_loss': 0.0074, 'ep_len': 35.7, 'cache_hit_rate': 0.2931, 'cache_lookups': 41302, 'infer_rows': 29184, 'infer_calls': 4790, 'fresh_rows': 29184, 'hit_rows': 12106}
{'it': 54, 'wall': 320.5, 'records': 828, 'policy_loss': 3.3148, 'value_loss': 0.0065, 'ep_len': 37.6, 'cache_hit_rate': 0.3277, 'cache_lookups': 35722, 'infer_rows': 24012, 'infer_calls': 4125, 'fresh_rows': 24012, 'hit_rows': 11706}
{'it': 55, 'wall': 326.7, 'records': 820, 'policy_loss': 3.5109, 'value_loss': 0.0058, 'ep_len': 41.0, 'cache_hit_rate': 0.2604, 'cache_lookups': 44171, 'infer_rows': 32666, 'infer_calls': 5100, 'fresh_rows': 32666, 'hit_rows': 11500}
{'it': 56, 'wall': 332.1, 'records': 831, 'policy_loss': 3.5603, 'value_loss': 0.0034, 'ep_len': 41.5, 'cache_hit_rate': 0.2724, 'cache_lookups': 33703, 'infer_rows': 24521, 'infer_calls': 3914, 'fresh_rows': 24521, 'hit_rows': 9181}
{'it': 57, 'wall': 338.1, 'records': 803, 'policy_loss': 3.4539, 'value_loss': 0.0023, 'ep_len': 38.2, 'cache_hit_rate': 0.278, 'cache_lookups': 42113, 'infer_rows': 30396, 'infer_calls': 4932, 'fresh_rows': 30396, 'hit_rows': 11706}
{'it': 58, 'wall': 343.5, 'records': 835, 'policy_loss': 3.6151, 'value_loss': 0.0018, 'ep_len': 46.4, 'cache_hit_rate': 0.2787, 'cache_lookups': 38233, 'infer_rows': 27579, 'infer_calls': 4383, 'fresh_rows': 27579, 'hit_rows': 10654}
{'it': 59, 'wall': 349.1, 'records': 801, 'policy_loss': 3.4301, 'value_loss': 0.0026, 'ep_len': 42.2, 'cache_hit_rate': 0.2809, 'cache_lookups': 39951, 'infer_rows': 28728, 'infer_calls': 4590, 'fresh_rows': 28728, 'hit_rows': 11222}
{'it': 60, 'wall': 354.5, 'records': 779, 'policy_loss': 3.4896, 'value_loss': 0.0194, 'ep_len': 48.7, 'cache_hit_rate': 0.2792, 'cache_lookups': 36081, 'infer_rows': 26004, 'infer_calls': 4109, 'fresh_rows': 26004, 'hit_rows': 10075}
{'it': 61, 'wall': 360.9, 'records': 804, 'policy_loss': 3.2781, 'value_loss': 0.0115, 'ep_len': 40.2, 'cache_hit_rate': 0.2742, 'cache_lookups': 39550, 'infer_rows': 28706, 'infer_calls': 4590, 'fresh_rows': 28706, 'hit_rows': 10844}
{'it': 62, 'wall': 366.7, 'records': 804, 'policy_loss': 3.449, 'value_loss': 0.0722, 'ep_len': 44.7, 'cache_hit_rate': 0.2781, 'cache_lookups': 38666, 'infer_rows': 27912, 'infer_calls': 4491, 'fresh_rows': 27912, 'hit_rows': 10754}
{'it': 63, 'wall': 371.8, 'records': 784, 'policy_loss': 3.323, 'value_loss': 0.0212, 'ep_len': 41.3, 'cache_hit_rate': 0.2952, 'cache_lookups': 34472, 'infer_rows': 24295, 'infer_calls': 4007, 'fresh_rows': 24295, 'hit_rows': 10177}
{'it': 64, 'wall': 377.2, 'records': 809, 'policy_loss': 3.1493, 'value_loss': 0.0166, 'ep_len': 42.6, 'cache_hit_rate': 0.331, 'cache_lookups': 36852, 'infer_rows': 24653, 'infer_calls': 4260, 'fresh_rows': 24653, 'hit_rows': 12199}
{'it': 65, 'wall': 382.3, 'records': 772, 'policy_loss': 2.9243, 'value_loss': 0.0163, 'ep_len': 40.6, 'cache_hit_rate': 0.3619, 'cache_lookups': 35905, 'infer_rows': 22910, 'infer_calls': 4069, 'fresh_rows': 22910, 'hit_rows': 12994}
{'it': 66, 'wall': 387.9, 'records': 786, 'policy_loss': 2.9752, 'value_loss': 0.0156, 'ep_len': 35.7, 'cache_hit_rate': 0.3256, 'cache_lookups': 40317, 'infer_rows': 27182, 'infer_calls': 4746, 'fresh_rows': 27182, 'hit_rows': 13129}
{'it': 67, 'wall': 393.2, 'records': 799, 'policy_loss': 3.0666, 'value_loss': 0.0155, 'ep_len': 38.0, 'cache_hit_rate': 0.324, 'cache_lookups': 36337, 'infer_rows': 24565, 'infer_calls': 4272, 'fresh_rows': 24565, 'hit_rows': 11772}
{'it': 68, 'wall': 398.4, 'records': 768, 'policy_loss': 2.9831, 'value_loss': 0.0094, 'ep_len': 36.6, 'cache_hit_rate': 0.3282, 'cache_lookups': 35973, 'infer_rows': 24168, 'infer_calls': 4164, 'fresh_rows': 24168, 'hit_rows': 11805}
{'it': 69, 'wall': 403.7, 'records': 795, 'policy_loss': 2.9339, 'value_loss': 0.017, 'ep_len': 39.8, 'cache_hit_rate': 0.3507, 'cache_lookups': 37177, 'infer_rows': 24138, 'infer_calls': 4377, 'fresh_rows': 24138, 'hit_rows': 13039}
{'it': 70, 'wall': 409.4, 'records': 794, 'policy_loss': 3.16, 'value_loss': 0.0101, 'ep_len': 44.1, 'cache_hit_rate': 0.3369, 'cache_lookups': 39349, 'infer_rows': 26093, 'infer_calls': 4588, 'fresh_rows': 26093, 'hit_rows': 13255}
{'it': 71, 'wall': 414.8, 'records': 787, 'policy_loss': 3.0134, 'value_loss': 0.0063, 'ep_len': 39.4, 'cache_hit_rate': 0.3399, 'cache_lookups': 36356, 'infer_rows': 23999, 'infer_calls': 4244, 'fresh_rows': 23999, 'hit_rows': 12357}
{'it': 72, 'wall': 419.7, 'records': 774, 'policy_loss': 2.8518, 'value_loss': 0.051, 'ep_len': 36.9, 'cache_hit_rate': 0.335, 'cache_lookups': 33407, 'infer_rows': 22217, 'infer_calls': 3950, 'fresh_rows': 22217, 'hit_rows': 11190}
{'it': 73, 'wall': 425.0, 'records': 789, 'policy_loss': 2.5025, 'value_loss': 0.0616, 'ep_len': 32.9, 'cache_hit_rate': 0.4292, 'cache_lookups': 39434, 'infer_rows': 22508, 'infer_calls': 4584, 'fresh_rows': 22508, 'hit_rows': 16926}
{'it': 74, 'wall': 429.6, 'records': 812, 'policy_loss': 2.7665, 'value_loss': 0.0263, 'ep_len': 40.6, 'cache_hit_rate': 0.3621, 'cache_lookups': 33316, 'infer_rows': 21252, 'infer_calls': 3919, 'fresh_rows': 21252, 'hit_rows': 12063}
{'it': 75, 'wall': 434.8, 'records': 802, 'policy_loss': 2.8465, 'value_loss': 0.0152, 'ep_len': 40.1, 'cache_hit_rate': 0.3601, 'cache_lookups': 37198, 'infer_rows': 23804, 'infer_calls': 4419, 'fresh_rows': 23804, 'hit_rows': 13394}
{'it': 76, 'wall': 440.1, 'records': 780, 'policy_loss': 2.9485, 'value_loss': 0.0106, 'ep_len': 37.1, 'cache_hit_rate': 0.3461, 'cache_lookups': 35700, 'infer_rows': 23344, 'infer_calls': 4319, 'fresh_rows': 23344, 'hit_rows': 12356}
{'it': 77, 'wall': 445.2, 'records': 787, 'policy_loss': 2.6368, 'value_loss': 0.0068, 'ep_len': 37.5, 'cache_hit_rate': 0.3689, 'cache_lookups': 35274, 'infer_rows': 22259, 'infer_calls': 4224, 'fresh_rows': 22259, 'hit_rows': 13014}
{'it': 78, 'wall': 450.0, 'records': 791, 'policy_loss': 2.5565, 'value_loss': 0.011, 'ep_len': 34.4, 'cache_hit_rate': 0.3784, 'cache_lookups': 34354, 'infer_rows': 21350, 'infer_calls': 4163, 'fresh_rows': 21350, 'hit_rows': 12999}
{'it': 79, 'wall': 455.0, 'records': 793, 'policy_loss': 2.5091, 'value_loss': 0.0126, 'ep_len': 33.0, 'cache_hit_rate': 0.3864, 'cache_lookups': 35227, 'infer_rows': 21614, 'infer_calls': 4308, 'fresh_rows': 21614, 'hit_rows': 13610}
{'it': 80, 'wall': 460.3, 'records': 784, 'policy_loss': 2.6397, 'value_loss': 0.0095, 'ep_len': 32.7, 'cache_hit_rate': 0.3526, 'cache_lookups': 35087, 'infer_rows': 22714, 'infer_calls': 4317, 'fresh_rows': 22714, 'hit_rows': 12372}
{'it': 81, 'wall': 466.0, 'records': 774, 'policy_loss': 2.5072, 'value_loss': 0.0124, 'ep_len': 32.2, 'cache_hit_rate': 0.3525, 'cache_lookups': 36576, 'infer_rows': 23683, 'infer_calls': 4530, 'fresh_rows': 23683, 'hit_rows': 12893}
{'it': 82, 'wall': 471.6, 'records': 790, 'policy_loss': 2.596, 'value_loss': 0.0087, 'ep_len': 34.3, 'cache_hit_rate': 0.3664, 'cache_lookups': 37446, 'infer_rows': 23724, 'infer_calls': 4493, 'fresh_rows': 23724, 'hit_rows': 13722}
{'it': 83, 'wall': 476.3, 'records': 771, 'policy_loss': 2.5164, 'value_loss': 0.0073, 'ep_len': 33.5, 'cache_hit_rate': 0.3908, 'cache_lookups': 32714, 'infer_rows': 19931, 'infer_calls': 3979, 'fresh_rows': 19931, 'hit_rows': 12783}
{'it': 84, 'wall': 481.4, 'records': 769, 'policy_loss': 2.5228, 'value_loss': 0.0091, 'ep_len': 33.4, 'cache_hit_rate': 0.3769, 'cache_lookups': 36282, 'infer_rows': 22607, 'infer_calls': 4456, 'fresh_rows': 22607, 'hit_rows': 13675}
{'it': 85, 'wall': 486.6, 'records': 789, 'policy_loss': 2.4989, 'value_loss': 0.0242, 'ep_len': 35.9, 'cache_hit_rate': 0.4095, 'cache_lookups': 35146, 'infer_rows': 20755, 'infer_calls': 4161, 'fresh_rows': 20755, 'hit_rows': 14391}
{'it': 86, 'wall': 491.1, 'records': 770, 'policy_loss': 2.4235, 'value_loss': 0.0265, 'ep_len': 33.5, 'cache_hit_rate': 0.4106, 'cache_lookups': 32103, 'infer_rows': 18919, 'infer_calls': 3868, 'fresh_rows': 18919, 'hit_rows': 13183}
{'it': 87, 'wall': 495.9, 'records': 771, 'policy_loss': 2.4849, 'value_loss': 0.0106, 'ep_len': 32.1, 'cache_hit_rate': 0.4012, 'cache_lookups': 33011, 'infer_rows': 19766, 'infer_calls': 4159, 'fresh_rows': 19766, 'hit_rows': 13244}
{'it': 88, 'wall': 500.8, 'records': 774, 'policy_loss': 2.3367, 'value_loss': 0.0411, 'ep_len': 31.0, 'cache_hit_rate': 0.4304, 'cache_lookups': 34663, 'infer_rows': 19744, 'infer_calls': 4255, 'fresh_rows': 19744, 'hit_rows': 14919}
{'it': 89, 'wall': 506.0, 'records': 787, 'policy_loss': 2.5537, 'value_loss': 0.0379, 'ep_len': 30.3, 'cache_hit_rate': 0.3564, 'cache_lookups': 34912, 'infer_rows': 22469, 'infer_calls': 4410, 'fresh_rows': 22469, 'hit_rows': 12441}
